ID_Hook,ID_Investidor,ID_Pessoa,Investidor,Pessoa,Tipo_Conteúdo,Título,Data_Publicação,Tema,Ponto_de_Vista,Hook_Sugerido,URL_Fonte,Estado_Verificação,Confiança,Adequação_Outreach,Sensibilidade,Nota_de_Uso
HOK0069,INV028,PER0216,Korys,Dries Crevits,Entrevista / caso de investimento,The three secret ingredients in the D-drinks recipe,,Foodtech; distribuição,Apresenta distribuidores como plataformas para levar marcas alimentares inovadoras ao mercado.,Relacionar o canal de distribuição com o custo de conquistar cada mercado; perguntar se a vantagem deve estar na marca ou na infraestrutura comercial.,https://korys.be/the-three-secret-ingredients-in-the-d-drinks-recipe/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0070,INV028,PER0217,Korys,Hilde Van der Straeten,Perfil oficial,Hilde Van der Straeten — Conscious Consumer,,Consumo; conveniência,Procura benefícios para saúde e sustentabilidade sem sacrificar conveniência.,Mostrar dados de utilização que provem que a alternativa responsável é tão conveniente como a atual.,https://korys.be/our-team/,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0071,INV028,PER0218,Korys,Quentin Dupont,Declaração em anúncio,"Greenely secures €8 million in Series A funding, led by Korys",,Energia; VPP; expansão,Declaração conjunta com Brieuc de Hults apoia a expansão da Greenely e a mudança no consumo doméstico de energia.,Partir da Greenely para perguntar que evidência de adoção doméstica e flexibilidade energética espera antes da expansão geográfica.,https://korys.be/pers/greenely-secures-e8-million-in-series-a-funding-led-by-korys-to-enhance-household-energy-optimization-and-expand-its-residential-virtual-power-plant-platform/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração conjunta. Não atribuir a Quentin sozinho as palavras conjuntas. Data exata não confirmada. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0072,INV028,PER0220,Korys,David Devigne,Declaração citada pela imprensa,Familie Colruyt investeert in nieuwe kankerbestrijding,,Oncologia; necessidade não satisfeita,Atribui à Mablink potencial para doentes sem resposta nas terapias existentes.,"Se o projeto for oncológico, apresentar a população sem opção eficaz e os dados que sustentam a diferenciação terapêutica.",https://be.linkedin.com/posts/de-tijd_familie-colruyt-investeert-in-nieuwe-kankerbestrijding-activity-6986721035131723778-BJSi,Verificado,Média,Avaliar contexto,Baixa,"Declaração pessoal citada. Fonte: publicação de De Tijd no LinkedIn. Opinião sobre investimento; não informação de saúde pessoal. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0073,INV029,PER0222,H14,Riccardo Porcelli,Publicação LinkedIn,Comentário sobre o investimento em Unobravo,,Mental health; acesso; impacto,Associa liderança de categoria a acesso a terapia e redução do estigma.,"Ligar o crescimento do negócio a uma métrica verificável de acesso ao serviço, em vez de usar apenas uma narrativa de impacto.",https://www.linkedin.com/posts/riccardo-porcelli-658b6874_proud-and-happy-to-join-the-unobravo-servizio-activity-7141031623407439876-fnCY,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0074,INV029,PER0222,H14,Riccardo Porcelli,Declaração em notícia de investimento,WeRoad — racional de investimento da H14,2023-11,Travel; comunidade; crescimento,Salienta resiliência da procura por viagens e força da comunidade criada pela WeRoad.,Apresentar retenção e aquisição por comunidade; perguntar qual indicador permite distinguir comunidade duradoura de crescimento promocional.,https://www.newdealadvisors.com/wp-content/uploads/2023/11/dealfloer-h14-weroad-27.11.pdf,Verificado,Média,Avaliar contexto,Baixa,"Declaração pessoal citada. Mês confirmado pelo documento; não inventado o dia de publicação. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0075,INV029,PER0222,H14,Riccardo Porcelli,Publicação LinkedIn no perfil,Comentário sobre Fleek e comércio de segunda mão,,B2B marketplace; velocidade de execução,Elogia a rapidez de execução e iteração dos founders da Fleek.,"Mostrar o ciclo entre feedback, alteração do produto e resultado comercial, com um exemplo recente e mensurável.",https://it.linkedin.com/in/riccardo-porcelli-658b6874,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. Post acessível no perfil; URL individual e data exata não expostas. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0076,INV030,PER0224,Fink Family Office,Alexander Fink,Publicação LinkedIn,How are Family offices leveraging AI for DD and portfolio management,,IA; diligência; private markets,Diz que a family office usa Allermuir para diligência de empresas privadas.,"No caso SaaS: mostrar como a descoberta de investidores complementa a análise de empresas, e pedir opinião sobre a fronteira entre as duas tarefas.",https://www.linkedin.com/posts/alexandermfink_how-are-family-offices-leveraging-ai-for-activity-7491175283249721344-B0Py,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. Possível sobreposição comercial. Não apresentar acesso a dados não públicos. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0077,INV030,PER0224,Fink Family Office,Alexander Fink,Publicação LinkedIn,A week in the life of a FO,,Healthtech; boards; acompanhamento,Descreve participação numa reunião de conselho da EnsiliTech e contactos com o ecossistema healthtech.,Perguntar que marco operacional torna uma descoberta científica suficientemente madura para apoio ativo da family office.,https://www.linkedin.com/posts/alexandermfink_a-week-in-the-life-of-a-fo-fast-paced-high-value-activity-7453820105060356096-FEZe,Verificado,Alta,Avaliar contexto,Baixa,"Relato profissional pessoal. Participar numa reunião não confirma, por si só, cargo formal no conselho. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0078,INV030,PER0224,Fink Family Office,Alexander Fink,Publicação institucional com repost,Comentário sobre Proxima Fusion,,Energia; ciência; divulgação,"Explica publicamente que a Fink Family Office e a Empirical investiram em Proxima Fusion, remetendo para divulgação de Ben Miles.","Se houver ciência industrial, apresentar uma explicação técnica curta e um caso económico que possa ser compreendido por especialistas e investidores.",https://uk.linkedin.com/company/fink-family-office,Verificado,Alta,Avaliar contexto,Baixa,"Publicação pessoal reproduzida pela entidade. Opinião identificada como post de Alexander na página institucional. Data exata indisponível. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0079,INV030,PER0225,Fink Family Office,Jordan Fink,Publicação LinkedIn reproduzida,Entrada em Allermuir Capital e descrição da plataforma,,IA para investimento; dados não estruturados,Explica o uso de data rooms e memorandos na análise automatizada de investimentos.,Perguntar onde a pesquisa externa de investidores pode complementar o trabalho com documentos internos e demonstrar a proveniência de cada dado.,https://www.linkedin.com/posts/alexandermfink_congrats-to-my-brother-jordan-fink-on-his-activity-7341049198877765632-uIlH,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. O texto de Jordan está reproduzido no post de Alexander; não confundir os autores. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0080,INV030,PER0225,Fink Family Office,Jordan Fink,Participação anunciada em conferência,"PE Conf — How AI is changing deal sourcing, due diligence & portfolio operations",2026-05-29,IA; sourcing; diligência,Anunciado como interveniente num painel sobre IA nas operações de private equity.,Referir o tema do painel e perguntar qual tarefa de sourcing considera ainda mal resolvida; não alegar ter assistido.,https://pe2026.com/,Verificado,Média,Avaliar contexto,Baixa,"Participação pública. Agenda não equivale a transcrição nem comprova uma opinião sobre cada tema. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0081,INV031,PER0226,DIG Ventures,Ross Mason,Publicação LinkedIn,DIG Ventures — primeiro fundo institucional,,VC de origem familiar; apoio operacional,Explica a evolução de family office para fundo institucional e o apoio operacional a founders europeus.,"Perguntar que erro de produto ou vendas um fundador técnico deve resolver antes de captar, ligando a pergunta à experiência MuleSoft.",https://www.linkedin.com/posts/ross-mason_a-proud-moment-for-the-dig-ventures-team-activity-7316021223954501634-0mPN,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0082,INV031,PER0226,DIG Ventures,Ross Mason,Publicação LinkedIn,Desia — investimento pre-seed liderado pela DIG,,IA; análise de investimentos; dados,"Defende automatizar a descoberta, organização e análise de dados usados por profissionais de investimento.",No caso SaaS: mostrar a diferença entre encontrar investidores adequados e analisar investimentos; demonstrar a qualidade dos dados com um caso auditável.,https://www.linkedin.com/posts/ross-mason_cofounder-of-italys-first-unicorn-raises-activity-7244437286103257089-Lnpb,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. Desia pode ser concorrente ou solução adjacente; avaliar antes de partilhar detalhe comercial. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0083,INV031,PER0227,DIG Ventures,Melissa Klinger,Perfil oficial,Melissa Klinger — experiência comercial na MuleSoft,,GTM; founder técnico,A biografia destaca trabalho com founders técnicos na construção da função comercial.,Levar um exemplo de conversa comercial difícil e perguntar o que mudaria na primeira venda de um produto técnico.,https://www.dig.ventures/team,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0084,INV031,PER0227,DIG Ventures,Melissa Klinger,Declaração citada pela imprensa,Tower raises USD $6.4m to bring AI data code to prod,,IA; produção; infraestrutura de dados,Distingue facilidade de gerar pipelines com IA da dificuldade de os operar com fiabilidade.,Mostrar como o produto reduz falhas em produção e quantificar o trabalho operacional evitado.,https://cfotech.co.uk/story/tower-raises-usd-6-4m-to-bring-ai-data-code-to-prod,Verificado,Média,Avaliar contexto,Baixa,"Declaração pessoal citada. A cifra é da ronda total da Tower; não é o cheque de Melissa ou da DIG. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0085,INV031,PER0228,DIG Ventures,Rytis Vitkauskas,Publicação LinkedIn,All-in-one AI platform — nexos.ai,,IA enterprise; equipa; continuidade,Salienta continuidade da parceria com a equipa nexos.ai e execução ao longo dos anos.,Relacionar a execução do teu projeto com uma aprendizagem acumulada da equipa e perguntar que marco valida uma plataforma de IA empresarial.,https://www.linkedin.com/posts/rvitkauskas_all-in-one-ai-platform-activity-7386353860748931072-MolE,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0086,INV032,PER0229,Smedvig Ventures,Jon Lerner,Entrevista no perfil oficial,A conversation with Jon — PMF or GTM?,,SaaS; diagnóstico de crescimento,"Defende diagnosticar se um problema de vendas resulta de produto, GTM ou ambos.",Apresentar um funil e uma cohort de retenção; perguntar qual teste faria primeiro para distinguir PMF de distribuição.,https://smedvig.vc/people/jon-lerner/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0087,INV032,PER0229,Smedvig Ventures,Jon Lerner,Entrevista no perfil oficial,A conversation with Jon — what gets you excited about a business?,,Métricas; software crítico,"Valoriza detalhe, métricas e plataformas que se tornam essenciais à organização.",Mostrar qual processo deixa de funcionar sem o produto e qual métrica demonstra aumento de dependência ao longo do tempo.,https://smedvig.vc/people/jon-lerner/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0088,INV032,PER0230,Smedvig Ventures,Joe Knowles,Entrevista no perfil oficial,A conversation with Joe — essentialism,,Prioridades; execução,Define apoio a founders como identificar o problema principal e priorizar com rigor.,Enviar três possíveis prioridades e os dados de cada uma; pedir opinião sobre a que removeria primeiro.,https://smedvig.vc/people/joe-knowles/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0089,INV032,PER0230,Smedvig Ventures,Joe Knowles,Recomendação pública de livro,Never Split the Difference — recomendação de Joe Knowles,,Escuta ativa; negociação,Recomenda o livro pelo que ensina sobre escuta ativa.,"Se já leste o livro, ligar uma prática de escuta a uma descoberta real de cliente; caso contrário, perguntar que aplicação considera mais útil.",https://smedvig.vc/people/joe-knowles/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0090,INV032,PER0231,Smedvig Ventures,Rob Toms,Entrevista no perfil oficial,A conversation with Rob — scaling sales and marketing,,GTM; crescimento eficiente,Descreve a dificuldade de escalar vendas mantendo crescimento e eficiência.,"Apresentar CAC, período de recuperação e crescimento por cohort; perguntar onde costuma surgir primeiro a perda de eficiência.",https://smedvig.vc/people/rob-toms/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0091,INV032,PER0232,Smedvig Ventures,Peter Duffy,Entrevista no perfil oficial,A conversation with Peter — explicar o negócio,,Clareza; narrativa,Usa a reação de alguém exterior ao negócio como sinal de clareza da oportunidade.,Abrir com uma explicação em duas frases e um problema reconhecível; perguntar onde a narrativa perde clareza.,https://smedvig.vc/people/peter-duffy/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0092,INV032,PER0233,Smedvig Ventures,Freddie Kalfayan,Entrevista no perfil oficial,A conversation with Freddie — contrarian founders,,Convicção; oportunidade pouco consensual,Interessa-se por empresas e founders fortes com uma tese pouco consensual.,"Mostrar uma hipótese que contraria o mercado, a evidência disponível e o resultado que te faria abandoná-la.",https://smedvig.vc/people/freddie-kalfayan/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0093,INV033,PER0234,Episode 1,Hector Mason,Entrevista,"Episode 1 Ventures, Interview With General Partner Hector Mason",2024-02-08,IA; infraestrutura; defensibilidade,"Em 2024, preferia infraestrutura e adoção empresarial de IA a aplicações com casos de uso superficiais.",Perguntar se continua a ver essa assimetria; mostrar a defensibilidade que vai além de uma interface para modelos.,https://vcwire.tech/2024/02/08/episode-1-ventures-interview-with-general-partner-hector-mason/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. Opinião histórica; não presumir que se mantém sem confirmar. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0094,INV033,PER0234,Episode 1,Hector Mason,Entrevista institucional,In the ‘Hot Seat’ with Hector Mason,2019-08-22,Founder; equipa técnica,Atribui parte do insucesso da Taskee a não ter encontrado cofundador técnico.,Explicar a divisão real de competências entre founders e como a equipa resolve o risco técnico central.,https://medium.com/episode-1-ventures/in-the-hot-seat-with-hector-mason-c9c6bc0ff18a,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. Aprendizagem empresarial auto-divulgada; cargo de 2019 não é usado como cargo atual. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0095,INV033,PER0235,Episode 1,Adam Shuaib,Publicação LinkedIn,Modelo de IA para resultados de startups seed,,Dados; sourcing; métricas,"Relata um modelo treinado em 15 mil empresas e destaca runway, experiência prévia e composição da equipa.",No caso SaaS: perguntar como mede precisão fora da amostra e como evita dados desatualizados no sourcing.,https://www.linkedin.com/posts/adamshuaib_at-episode-1-weve-built-an-ai-model-trained-activity-7272528423053381635-HA9x,Verificado,Alta,Avaliar contexto,Baixa,"Alegação do autor. Não reproduzir alegações preditivas como validação independente nem usar inferências psicológicas para classificar pessoas. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0096,INV033,PER0236,Episode 1,Simon Murdoch,Artigo de autoria pessoal,Is your start up a business or a pet project?,2016-04-05,Validação; disposição para pagar,Usa FriendsAbroad para explicar o risco de construir algo desejado pelo founder sem procura pagante.,Mostrar entrevistas com compradores e testes de preço; perguntar que evidência separa interesse de intenção de compra.,https://www.linkedin.com/pulse/your-start-up-business-pet-project-simon-murdoch,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. Conteúdo de 2016; não transportar limiares financeiros históricos para a tese atual. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0097,INV033,PER0238,Episode 1,Adrian Lloyd,Entrevista,Adrian Lloyd — entrevista sobre founders e venture,2021-09-02,Founder; escolha de carreira; execução,Procura founders fortes que escolhem construir e valoriza experiência operacional.,Explicar por que esta equipa escolheu este problema e qual vantagem concreta decorre do trabalho anterior.,https://unicorn-nest.com/media/interviews/adrian-lloyd-episode-1-ventures/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0098,INV033,PER0238,Episode 1,Adrian Lloyd,Artigo de autoria pessoal,Octopus & True invest in ThirdEye,2019-03-22,Enterprise; procurement; equipa,Destaca capacidade do CEO de recrutar engenharia e gerir ciclos comerciais difíceis em grandes retalhistas.,Mostrar como tens avançado com procurement e que contratação desbloqueia a entrega ao cliente.,https://medium.com/%40adrianelloyd/octopus-true-invest-in-thirdeye-b58b4239d835,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0099,INV034,PER0241,Concept Ventures,Reece Chowdhry,Perfil oficial,Reece Chowdhry — aprendizagens como operador,,Founder; pessoas; resiliência,Liga experiências de sucesso e insucesso em startups à importância das pessoas na construção da empresa.,Apresentar uma decisão difícil tomada pela equipa e a mudança de comportamento que dela resultou.,https://concept.vc/team-members/reece-chowdhry,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0100,INV034,PER0242,Concept Ventures,Oliver Kicks,Perfil oficial,Oliver Kicks — apoio do primeiro cheque à escala,,GTM; recrutamento; follow-on,"Trabalha com founders em contratações iniciais, fundraising e estratégia de produto e GTM.",Levar a primeira contratação sénior em análise e explicar o problema que deve resolver antes da próxima ronda.,https://concept.vc/team-members/oliver-kicks,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0101,INV034,PER0243,Concept Ventures,Jeff Chowdhry,Perfil oficial,Jeff Chowdhry — serviços financeiros e follow-on,,Fintech; asset management; capital,Lidera investimentos em serviços financeiros e avaliação de follow-on.,"No caso SaaS para investidores: definir o comprador, o orçamento e o marco comercial que justificará o cheque seguinte.",https://concept.vc/team-members/jeff-chowdhry,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0102,INV034,PER0244,Concept Ventures,Hugo Hazon,Perfil oficial,Hugo Hazon — enterprise e avaliação técnica,,Enterprise; tecnologia; produto,O percurso na Illuminate inclui B2B enterprise; participa na avaliação de oportunidades técnicas.,Mostrar a integração com a infraestrutura do cliente e qual prova técnica reduz o risco da adoção.,https://concept.vc/team-members/hugo-hazon,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0103,INV034,PER0245,Concept Ventures,Anrea Munsamy,Perfil oficial,Anrea Munsamy — operações e Venture Pledge,,Operações; causas públicas; apoio,Coordena operações e apoio ao portfólio e promove o Venture Pledge.,"Para uma empresa já próxima do fundo, perguntar como funciona o apoio operacional ou a participação dos founders no Venture Pledge.",https://concept.vc/team-members/anrea,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional. Contacto de apoio; não apresentar como destinatária principal de pedido de investimento. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0104,INV034,PER0246,Concept Ventures,Kudei Sawyer Moses,Perfil oficial,Kudei Sawyer Moses — comunidade e comunicações,,Eventos; comunidade; relações,"Organiza a comunidade, eventos e comunicação com os investidores do fundo.","Propor participação num evento com um exemplo útil para outros founders, ou perguntar que formatos a comunidade procura.",https://concept.vc/team-members/kudei-sawyer-moses,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional. Rota de comunidade; não decisora de investimento. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0105,INV035,PER0247,Empirical Ventures,Ben Miles,Declaração em anúncio,Nuclear Turbines raises £15m pre-seed to put a reactor next to the factory,2026-07-27,Deeptech; economia; venture studio,Defende começar pelo custo-alvo da solução e desenhar a tecnologia a partir desse objetivo comercial.,Mostrar o custo final pretendido e o percurso de engenharia necessário para o atingir; perguntar qual hipótese testar primeiro.,https://www.empiricalventures.vc/news/nuclear-turbines-raises-15m-pre-seed,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal. A ronda total não é o cheque da Empirical. Síntese da fala atribuída a Ben. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0106,INV035,PER0248,Empirical Ventures,Johnathan Matlock,Declaração em anúncio,Nuclear Turbines — comentário de Johnathan Matlock,2026-07-27,Deeptech; IP; formação de empresa,"Defende combinar investigação e engenharia para transformar ciência em empresas, incluindo através do studio.","Se ainda não há empresa, apresentar IP, equipa e trabalho por fazer na transferência tecnológica.",https://www.empiricalventures.vc/news/nuclear-turbines-raises-15m-pre-seed,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0107,INV035,PER0247,Empirical Ventures,Ben Miles,Caso institucional de sourcing,Empirical Ventures backs Proxima Fusion,2026-07-04,Conteúdo; dealflow; deeptech,A entidade diz que a oportunidade Proxima surgiu através da plataforma de divulgação de Ben.,Perguntar que elementos de divulgação técnica atraem founders e investidores certos sem expor propriedade intelectual.,https://www.empiricalventures.vc/news/proxima-fusion-empirical-ventures-backs-europes-leading-fusion-company,Verificado,Alta,Avaliar contexto,Baixa,"Relato institucional sobre a pessoa. A afirmação pertence à entidade; não é uma frase pessoal de Ben. Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
HOK0108,INV035,PER0248,Empirical Ventures,Johnathan Matlock,Perfil oficial,Johnathan Matlock — technical due diligence,,Diligência; ciência; risco,"Lidera parte substancial da diligência técnica, apoiado no percurso em química e Ziylo.","Enviar uma hipótese científica falsificável, dados de validação e a incerteza que o próximo ensaio resolve.",https://www.empiricalventures.vc/team,Verificado,Alta,Avaliar contexto,Baixa,"Perfil institucional.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
